,title,age,suggested_price(€),image_src,age_group
126,Velociraptor Escape,4.0,37.99,https://www.lego.com/cdn/cs/set/assets/bltfcbb177fe2af2c27/76957.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
127,Brick Separator,4.0,2.49,https://www.lego.com/cdn/cs/set/assets/bltbb5c4283a6ff931a/630.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
128,3in1 Family House,3.0,139.99,https://www.lego.com/cdn/cs/set/assets/bltcf410a5007513116/10994.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
129,Steam Train,2.0,64.99,https://www.lego.com/cdn/cs/set/assets/blt892b06b079302476/10874.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
130,Cinderella and Prince Charming's Castle,5.0,84.99,https://www.lego.com/cdn/cs/set/assets/blt9c35f3877aef883d/43206.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
131,Pony-Washing Stable,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/bltb1da2a25b9653360/41696.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
132,Creative Ninja Brick Box,5.0,59.99,https://www.lego.com/cdn/cs/set/assets/blt83f787c677684dd1/71787.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
133,Bear Stunt Bike,5.0,7.99,https://www.lego.com/cdn/cs/set/assets/blt9bb6d191870bc8f6/60356.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
134,Gabby's Dollhouse,4.0,79.99,https://www.lego.com/cdn/cs/set/assets/bltd72eccb2d4ece270/10788.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
135,3in1 Tree House,3.0,89.99,https://www.lego.com/cdn/cs/set/assets/bltaaa285deafaadfb0/10993.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
136,Creative Party Box,5.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt5d6dfffc73dab2c1/11029.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
137,Bathtub Stunt Bike,5.0,7.99,https://www.lego.com/cdn/cs/set/assets/bltc542406e5730bbc8/60333.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
138,Miles Morales: Spider-Man’s Techno Trike,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt95be96c39e3d24fc/10781.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
139,Holiday Camping Trip,4.0,24.99,https://www.lego.com/cdn/cs/set/assets/bltb736cb7d43328fa9/41726.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
140,Shuri's Lab,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt0f7eaeb0120d2868/76212.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
141,Nya and Arin's Baby Dragon Battle,4.0,31.99,https://www.lego.com/cdn/cs/set/assets/bltcda44a5e4e6bc33a/71798.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
142,Anna’s Castle Courtyard,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/blte9b244ecd906a514/43198_.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
